normal_form,type,variants_in_text,count
амон-дин,LOC,"амон-дина, амон-дин",3
эх,PER,эх,3
амон-ведар,LOC,амон-ведар,3
ламедон,LOC,ламедона,2
исилдура,LOC,исилдура,2
денэтор,LOC,денэтора,2
казад-дум,LOC,казад-дум,2
нурнен,LOC,нурнен,2
мундбург,LOC,"мундбург, мундбурга",2
западное ополчение,LOC,западного ополчения,2
онты-опекуны,PER,онты-опекуны,2
лавр наркисса,PER,лавра наркисса,2
йарвена,PER,йарвена,2
кэленхад,LOC,кэленхад,2
итилия,PER,"итилию, итилия",2
вил тополап,PER,вил тополап,2
лоссарнах,PER,"лоссарнах, лоссарнаха",2
вестфольд,PER,вестфольда,2
кольценосцы,PER,кольценосцы,2
деруфин,PER,"деруфином, деруфин",2
дернхельмом,PER,дернхельмом,2
лориэнский лес,LOC,лориэнского леса,2
лориэна,LOC,лориэна,2
мглистого,PER,мглистого,2
кольценосец,PER,кольценосец,2
азанулбизар,PER,"азанулбизар, азанулбизару",2
видал,PER,видал,2
кольце всевластья,LOC,кольце всевластья,2
врата ристании,PER,врата ристании,2
итилию,PER,итилию,2
кольце,LOC,кольце,2
итил,LOC,итил,2
маухур,PER,маухур,2
великие врат,LOC,великих врат,2
диор,PER,диор,2
любелии,PER,любелии,2
конники,PER,конники,2
любелией,PER,любелией,2
каир-андроса,LOC,каир-андроса,2
комариные топи,PER,комариные топи,2
казад-дума,PER,казад-дума,2
кольцом всевластья,PER,кольцом всевластья,2
горислав,LOC,горислав,2
норгорд-то,LOC,норгорде-то,2
владыки,PER,"владыки, владыками",2
гальбараду,PER,гальбараду,2
могильникам,PER,могильникам,2
лунная башня,LOC,лунной башни,2
ворожея,PER,ворожея,2
горгорота,PER,горгорота,2
карадрас,PER,карадрас,2
глухомани,LOC,глухомани,2
зеркало,PER,зеркало,2
зеркало,LOC,"зеркало, зеркале",2
глубокопы,LOC,глубокопы,2
коротышки,PER,коротышки,2
гондолин,PER,гондолин,2
зеркала,PER,зеркала,2
корона звездная,LOC,короной звездной,2
луна,PER,луна,2
ворожеи,LOC,ворожеи,2
зеленый луг,LOC,зеленый луг,2
гном,PER,гном,2
ворожеей,PER,ворожеей,2
камни,PER,камни,2
горбат,PER,горбат,2
золотая ворожея,PER,золотую ворожею,2
долгое озеро,LOC,долгом озере,2
камни,LOC,камни,2
луна,LOC,"луну, луной",2
каминный зал,LOC,каминном зале,2
лугдуш,PER,лугдуш,2
горлум-смеагорл,LOC,горлум-смеагорл,2
оин,PER,"оин, оином",2
карнимириэ,PER,карнимириэ,2
древнем,LOC,древнем,2
лебеннин,PER,"лебеннине, лебеннина",2
нимлот,PER,нимлота,2
древень,LOC,древень,2
менельдор,PER,менельдор,2
кардолан,PER,"кардолана, кардолан",2
зеркальному,PER,зеркальному,2
лаурелиндоренан,LOC,"лаурелиндоренана, лаурелиндоренан",2
городьбы,LOC,городьбы,2
городьбе,PER,городьбе,2
лякошелей,PER,лякошелей,2
зеркальное,LOC,зеркальное,2
караульное кресло,LOC,караульное кресло,2
караульная,PER,караульная,2
грим,PER,грима,2
зрячий камень,LOC,"зрячем камне, зрячий камень",2
лягушатники,LOC,лягушатники,2
карак-ангрена,LOC,карак-ангрена,2
менельдил,PER,"менельдилу, менельдил",2
друаданский лес,LOC,"друаданском лесу, друаданского леса",2
владыка раздол,PER,владыки раздола,2
владыка лориэн,PER,владыки лориэна,2
моргулдуин,PER,моргулдуина,2
всадниками,PER,всадниками,2
кибель-налы,LOC,кибель-налы,2
вяз,PER,"вяз, вязом",2
крепость,LOC,"крепости, крепость",2
дунланда,PER,дунланда,2
дунланда,LOC,дунланда,2
келед-зарама,LOC,келед-зарама,2
вышним,PER,вышним,2
гримы,PER,гримы,2
минас-моргула,PER,минас-моргула,2
владычица галадриэль,PER,владычица галадриэль,2
келебранте,LOC,келебранте,2
крепи,LOC,крепи,2
взгорный перекат,PER,"взгорный перекат, взгорным перекатом",2
золотинку,PER,золотинку,2
главный тракт,LOC,"главному тракту, главный тракт",2
глухоманья,PER,глухоманья,2
ейлы,LOC,ейлы,2
глухоманью,LOC,глухоманью,2
келебдора,LOC,келебдора,2
едва,PER,едва,2
моргула,PER,моргула,2
медусельд,PER,"медусельд, медусельду",2
мудрец,PER,"мудрецу, мудрец",2
орлы,PER,"орлы, орлами",2
дурри брендизайк,PER,дурри брендизайк,2
восточные ворот,LOC,восточных ворот,2
грима гнилоуст,PER,грима гнилоуст,2
грима,PER,грима,2
гутлафа,PER,гутлафа,2
гаймы,PER,гаймы,2
восточные,LOC,восточные,2
орк,PER,орк,2
гурин,PER,гурин,2
идриль,PER,идриль,2
обманный камень,PER,обманный камень,2
идем-грядем,PER,идем-грядем,2
наркиссу,PER,наркиссу,2
гана,LOC,гана,2
гронд,PER,гронд,2
громобой,PER,громобоя,2
липучки,PER,липучки,2
воротам,LOC,воротам,2
липучка,PER,липучка,2
ори,PER,ори,2
дунхергская долина,LOC,"дунхергская долина, дунхергской долины",2
восточный ветер,LOC,восточный ветер,2
восточный берег,LOC,восточный берег,2
дунхерга,PER,дунхерга,2
нардол,LOC,нардол,2
забрендии,LOC,забрендии,2
край,LOC,"края, край",2
линдир,PER,линдир,2
орофарнэ,PER,орофарнэ,2
да-а,PER,да-а,2
изенгардская переправа,LOC,изенгардской переправы,2
жихарю,PER,жихарю,2
жихарь скромби,PER,"жихарь скромби, жихарю скромби",2
властелин колец,PER,"властелина колец, властелине колец",2
миндоллуина,PER,миндоллуина,2
да,PER,да,2
мерри брендизайка,PER,мерри брендизайка,2
жезл гэндальф,PER,жезл гэндальфа,2
великий западный тракт,LOC,великого западного тракта,2
гил-гэладо,PER,гил-гэлада,2
орел,LOC,"орел, орла",2
вражьему,PER,вражьему,2
кролы,LOC,кролы,2
мост,LOC,мосту,2
имладрисе,LOC,имладрисе,2
завеса тьма,LOC,"завесой тьмы, завеса тьмы",2
глашатай саурона,PER,"глашатай саурона, глашатая саурона",2
имладриса,PER,имладриса,2
заверть,PER,заверть,2
врата ристании,LOC,врата ристании,2
кирит-горгор,PER,"кирит-горгора, кирит-горгору",2
забрендии,PER,забрендии,2
мальбет,PER,"мальбет, мальбетом",2
колдовскую,LOC,колдовскую,2
око барад-дура,PER,око барад-дура,2
дайна,PER,дайна,2
колдовской,LOC,колдовской,2
даина,PER,даина,2
око,PER,око,2
мортхонда,PER,мортхонда,2
всевластья,LOC,всевластья,2
могильники,PER,"могильников, могильниках",2
двиморнед,PER,двиморнед,2
всевидящего ока,PER,всевидящего ока,2
орофин,PER,орофин,2
зайгорд,LOC,зайгорд,2
всадников,PER,всадников,2
купольный,LOC,купольный,2
моргульская крепость,LOC,"моргульскую крепость, моргульской крепости",2
морские глубины,LOC,"морских глубинах, морские глубины",2
ключищи,PER,ключищи,2
метхедрас,PER,метхедраса,2
ирчи,PER,ирчи,2
дарин,PER,дарин,2
западная ограда,LOC,западной ограды,2
нибс,PER,нибс,2
заокраинный край,LOC,заокраинный край,2
накручинсы,PER,накручинсы,2
заокраинного запад,LOC,заокраинного запада,2
ирисной низина,LOC,ирисной низины,2
волк,PER,волк,2
ирисная низина,LOC,ирисной низины,2
морий,PER,мории,2
владетель,PER,"владетеля, владетель",2
кольцам,PER,кольцам,2
накручинсом,PER,накручинсом,2
галифириэн,PER,"галифириэна, галифириэн",2
мертвецких болот,PER,мертвецких болот,2
иорет,PER,иорета,2
великий тракт,LOC,"великому тракту, великий тракт",2
кольца всевластья,LOC,кольца всевластья,2
галадхэн,PER,"галадхэном, галадхэн",2
галадриэль,LOC,галадриэль,2
заморья,PER,заморья,2
вихроног,PER,"вихроног, вихроноге",2
исторбинку,LOC,исторбинку,2
деагорел,PER,"деагорла, деагорлом",2
заморские витязи,LOC,"заморских витязей, заморские витязи",2
ворот мории,PER,ворот мории,2
общинный луг,LOC,общинном лугу,2
исправнор,LOC,исправнор,2
лассемист,PER,лассемисте,2
минас-тириту,LOC,минас-тириту,2
лихолесьем,LOC,лихолесьем,2
деорвин,PER,деорвин,2
владычицу,PER,владычицу,2
оскаленного,PER,оскаленного,2
остранну,LOC,остранну,2
бурыми равнинами,PER,бурыми равнинами,2
остранна,LOC,"остранна, остранны",2
парт-галену,LOC,парт-галену,2
перворожденными,PER,перворожденными,2
перворожденные,PER,перворожденные,2
пеленнор,PER,пеленнор,2
пеларгир,PER,пеларгира,2
пеларгир,LOC,"пеларгиру, пеларгира",2
перекат,LOC,"переката, перекат",2
буйной,LOC,буйной,2
буйная,LOC,"буйная, буйной",2
валендил,PER,валендила,2
валаров,PER,валаров,2
валаров,LOC,валаров,2
в,PER,в,2
в,LOC,в,2
перегрина,PER,перегрина,2
пин сэм,PER,"пин сэму, пин сэма",2
повести,PER,повести,2
питенец,PER,питенец,2
подгорный царстве,LOC,подгорном царстве,2
подгорного царства,LOC,подгорного царства,2
погодите-ка,PER,погодите-ка,2
пойлы,LOC,пойлы,2
пони билл,PER,пони билл,2
пони,PER,пони,2
последний союз,LOC,"последнего союза, последний союз",2
порог,LOC,порога,2
правитель,PER,"правителя, правителе",2
поход,PER,"поход, походе",2
прелести,LOC,прелести,2
предначальных времен,PER,предначальных времен,2
привражьем,PER,привражьем,2
привражье,LOC,привражье,2
бродяжник-следопыт,PER,бродяжник-следопыт,2
бродяжник,LOC,"бродяжником, бродяжник",2
булкинсы,LOC,булкинсы,2
прелесть,LOC,"прелестью, прелести",2
пригорье-то,LOC,пригорье-то,2
пригорья,PER,пригорья,2
пригорьем,PER,пригорьем,2
пригорьем,LOC,пригорьем,2
приречного,PER,приречного,2
приозерная долина,LOC,приозерной долине,2
проклятии исилдура,PER,проклятии исилдура,2
прогалины,PER,прогалины,2
брендизайкам,PER,брендизайкам,2
приречья,LOC,приречья,2
радагаста карего,PER,радагаста карего,2
радагаст карий,PER,радагаст карий,2
просечень,PER,просечень,2
раздол-то,LOC,раздоле-то,2
раздала,LOC,раздала,2
развилок,PER,развилку,2
брод,PER,брод,2
брод,LOC,"броду, брод",2
брендизайки,LOC,"брендизайки, брендизайков",2
ристанией,PER,ристанией,2
ристания,LOC,"ристания, ристанией",2
ристанийцы,PER,ристанийцы,2
ристанийская,LOC,"ристанийской, ристанийскую",2
ройлы,LOC,ройлы,2
розочкой,PER,розочкой,2
бомбадила,PER,бомбадила,2
большие начальники,PER,больших начальников,2
роза кроттон,PER,"роза кроттон, розе кроттон",2
родниковая долина,LOC,родниковой долине,2
саммат-наур,LOC,"саммат-науре, саммат-наура",2
сарумановы,PER,сарумановы,2
саруманово,PER,саруманово,2
болони,LOC,болони,2
сауронов,PER,"сауронов, сауронова",2
сарумановых,PER,сарумановых,2
северный нагорье,LOC,северном нагорье,2
северный край,LOC,северного края,2
северное крыло,LOC,северном крыле,2
северное княжество,LOC,северного княжества,2
благословенного край,LOC,благословенного края,2
болотище,LOC,болотище,2
свивая,PER,свивая,2
селербэрну,PER,селербэрну,2
селебрайне,PER,селебрайне,2
серебрянке,LOC,серебрянке,2
серебристую гавань,LOC,серебристую гавань,2
сенешаль мустангрима,PER,сенешаль мустангрима,2
сенешаль,LOC,сенешаль,2
си,PER,си,2
серострую,LOC,серострую,2
сирые равнины,LOC,сирые равнины,2
сираннона,PER,сираннона,2
славуров,PER,славуров,2
скачи,PER,скачи,2
блистающие пещера,LOC,блистающие пещеры,2
блаженный край,LOC,"блаженного края, блаженный край",2
скалистый,LOC,скалистый,2
скалистого,PER,скалистого,2
слыхал,PER,слыхал,2
смотрите-ка,PER,смотрите-ка,2
смилостивись,PER,смилостивись,2
смауг,PER,смауг,2
соглядатаи,PER,соглядатаи,2
бита осинник,PER,бита осинника,2
смотрителю,PER,смотрителю,2
средиземьем,LOC,средиземьем,2
старого крола,LOC,старого крола,2
стена,PER,стене,2
стезя мертвецов,PER,стезя мертвецов,2
стезя мертвецов,LOC,"стезя мертвецов, стезю мертвецов",2
стезей мертвецов,LOC,стезей мертвецов,2
сумрачный край,LOC,"сумрачный край, сумрачного края",2
сэммиум скромби,PER,сэммиум скромби,2
берегонд,LOC,"берегонд, берегонда",2
сэм фродо,PER,"сэм фродо, сэма фродо",2
тангородрим,LOC,тангородрим,2
сэмчик,PER,сэмчик,2
теодена,LOC,теодена,2
тень,PER,"тени, тенью",2
тень,LOC,"тени, тень",2
темные силы,LOC,"темными силами, темные силы",2
терна,PER,терна,2
теодену,PER,теодену,2
толстика,PER,толстика,2
тирион,PER,тирион,2
тонгородрим,LOC,тонгородрим,2
том кроттон,PER,"томом кроттоном, том кроттон",2
белерианда,LOC,белерианда,2
белая крепость,LOC,белой крепости,2
торбе-на-круче,LOC,торбе-на-круче,2
трайгирн,PER,"трайгирна, трайгирн",2
трапезный зал,LOC,"трапезного зала, трапезном зале",2
бараир,LOC,"бараир, бараира",2
баразинбара,LOC,баразинбара,2
барад-дуру,LOC,барад-дуру,2
тьма,PER,тьма,2
ты-то,PER,ты-то,2
турин,LOC,турин,2
уйду,PER,уйду,2
улице фонарщиков,LOC,улице фонарщиков,2
укрывища,LOC,укрывища,2
умбар,PER,"умбара, умбар",2
ущелина,PER,"ущелина, ущелины",2
барлог,LOC,барлогом,2
бард лучник,PER,"барда лучника, бард лучник",2
бараир,PER,бараира,2
утешься,PER,утешься,2
усыпальни,PER,усыпальни,2
усыпальни,LOC,усыпальни,2
ущельный излог,LOC,ущельного излога,2
ущельная стена,LOC,"ущельной стене, ущельной стены",2
ущелица,PER,ущелица,2
фарамир-то,PER,"фарамира-то, фарамир-то",2
фимбретиль,PER,фимбретиль,2
фенмарк,LOC,фенмарк,2
бандобрас быкобор,PER,"бандобрасу быкобору, бандобрас быкобор",2
балка,LOC,"балке, балку",2
феанор,PER,феанора,2
фолко булкинс,PER,фолко булкинс,2
фладриф,PER,фладриф,2
харлонд,LOC,харлонд,2
фу,PER,фу,2
хельмову гать,LOC,хельмову гать,2
хельмовой крепи,LOC,хельмовой крепи,2
артедаин,PER,артедаин,2
багровых ворот,LOC,багровых ворот,2
багровым оком,PER,багровым оком,2
хоббитанией,PER,хоббитанией,2
хоббитан,PER,"хоббитана, хоббитан",2
хоббитаном,PER,хоббитаном,2
арчет,LOC,"арчете, арчет",2
хранители,LOC,хранители,2
хранилище,LOC,хранилище,2
хэлдар,LOC,хэлдар,2
хранителям хэлдар,PER,хранителям хэлдар,2
хранителям леголас,PER,хранителям леголас,2
хранитель кольца,LOC,хранитель кольца,2
царства тьма,LOC,царства тьмы,2
арнора,LOC,арнора,2
хэлдаром,PER,хэлдаром,2
черная бездна,LOC,"черная бездна, черной бездны",2
чародей,PER,"чародей, чародея",2
черные,PER,"черные, черных",2
черноречный каскад,PER,"черноречному каскаду, черноречный каскад",2
черный владыка,PER,"черному владыке, черный владыка",2
черный владыка,LOC,"черного владыки, черным владыкою",2
черные врат,LOC,черных врат,2
черных всадники,PER,черных всадников,2
арагорну гэндальф,PER,арагорну гэндальф,2
черный всадник,LOC,"черным всадником, черный всадник",2
четбор,LOC,"четборе, четбор",2
шерстопалы,LOC,шерстопалы,2
шерстолапы,PER,шерстолапы,2
шелоб,LOC,шелоб,2
андрил,LOC,"андрилом, андрил",2
андомиэль,PER,андомиэль,2
ар-адунахор,PER,ар-адунахор,2
ануминаса,LOC,ануминаса,2
эйленах,LOC,"эйленахе, эйленаха",2
эдорасу,PER,эдорасу,2
анарион,LOC,анарион,2
андуином,PER,андуином,2
андуина,PER,андуина,2
элендил,LOC,"элендила, элендил",2
эльдамар,LOC,"эльдамар, эльдамара",2
эльвинг,PER,эльвинг,2
ангмара,PER,ангмара,2
ангмар,LOC,ангмара,2
ангбор,PER,ангбор,2
эльдарам,PER,эльдарам,2
эовин,LOC,эовин,2
эмрос,PER,"эмрос, эмроса",2
эльфхельма,PER,эльфхельма,2
эред-литуи,LOC,эред-литуи,2
эребора,LOC,эребора,2
эребор,LOC,"эреборе, эребора",2
эотан,PER,эотан,2
эомером,PER,эомером,2
эрелас,LOC,эрелас,2
эрекский камень,LOC,эрекского камня,2
южное княжество,LOC,южного княжества,2
эсгарот,LOC,"эсгарот, эсгарота",2
амон-слоуш,LOC,амон-слоуш,2
амон-дина,LOC,амон-дина,2
амон-ведар,PER,"амон-ведар, амон-ведара",2
амон сул,PER,амон сул,2
эрека,LOC,эрека,2
допросчик,PER,допросчика,1
дома-то,PER,дома-то,1
доля приозерное королевство,LOC,доле приозерное королевство,1
гальбарад-знаменосец,PER,гальбарад-знаменосец,1
гальбарад следопыт,PER,гальбарад следопыт,1
гальбарад дунадан,PER,гальбарад дунадан,1
галмода,PER,галмода,1
гиганты,LOC,гиганты,1
гиблых болот,PER,гиблых болот,1
гиблых болот,LOC,гиблых болот,1
гиблых,LOC,гиблых,1
геругрим,PER,геругрим,1
герубранд,LOC,герубранд,1
генеральным ширриф,PER,генеральным ширрифом,1
генералиссимусом,PER,генералиссимусом,1
гендальф,PER,гендальф,1
долина сарумана,LOC,долина сарумана,1
долина привражья,LOC,долины привражья,1
долгобородых,PER,долгобородых,1
дол-брана,LOC,дол-брана,1
дол-амроте,LOC,дол-амроте,1
древня-то,PER,древня-то,1
древний наречия,LOC,древнего наречия,1
древний,LOC,древнем,1
древнейший,PER,древнейшего,1
древень-то,PER,древень-то,1
древенная горы,LOC,древенной горы,1
древа,PER,древа,1
древа,LOC,древа,1
драконья пустошь,LOC,драконья пустошь,1
дудстоны,PER,дудстоны,1
дубровы,PER,дубровы,1
дубощит,PER,дубощит,1
дружина,PER,дружину,1
другое,PER,другого,1
друг эльфы,PER,друга эльфов,1
друг эльфов,PER,другом эльфов,1
друг,PER,другом,1
друадан,LOC,друадан,1
дрого торбинс,PER,дрого торбинс,1
дремучего лес,PER,дремучего леса,1
дремоцвет,PER,дремоцвет,1
древом,PER,древом,1
дунул,PER,дунул,1
дунландцы,PER,дунландцы,1
дунланд,LOC,дунланд,1
дунадана,PER,дунадана,1
дунадан,LOC,дунадан,1
дул-гулдура,LOC,дул-гулдура,1
дуингир,PER,дуингир,1
дуилином,PER,дуилином,1
дуилин,PER,дуилином,1
ейлы,PER,ейлы,1
ей,PER,ей,1
дэлонь эмроса,LOC,дэлонь эмроса,1
дэлони хэлдар,PER,дэлони хэлдар,1
духовитая,PER,духовитая,1
дуртханг,LOC,дуртханг,1
дурри,PER,дурри,1
гайму,PER,гайму,1
гайме,PER,гайме,1
гадор,PER,гадора,1
гарульф,PER,гарульф,1
гардинг,PER,гардинг,1
гаральда,PER,гаральда,1
ган-бури-гану,PER,ган-бури-гану,1
ган-бури-ган,PER,ган-бури-ган,1
гамлинг,LOC,гамлинг,1
дунхергскую,LOC,дунхергскую,1
дунхерге,PER,дунхерге,1
дунхерге,LOC,дунхерге,1
дунхерга,LOC,дунхерга,1
забрендией,PER,забрендией,1
заблудиться-то,PER,заблудиться-то,1
за край,LOC,за край,1
жуть-то,PER,жуть-то,1
жирненькая,PER,жирненькая,1
железногорья,PER,железногорья,1
железногорья,LOC,железногорья,1
ждет-пождет,PER,ждет-пождет,1
заводь,LOC,заводи,1
заводи,PER,заводям,1
заводей,PER,заводей,1
заводей,LOC,заводей,1
завесу тьма,LOC,завесу тьмы,1
завертью,LOC,завертью,1
заверти тракт,LOC,заверти тракт,1
забрендия,PER,забрендия,1
замиральде,PER,замиральде,1
заметь,PER,заметь,1
заклинательные,PER,заклинательные,1
закатной твердыни,PER,закатной твердыни,1
закатное окно,PER,закатное окно,1
закатился,PER,закатился,1
зайгордный,PER,зайгордному,1
зайгордная,LOC,зайгордной,1
зайгорда,PER,зайгорда,1
зайгорд,PER,зайгордом,1
зажарим пина,PER,зажарим пина,1
загорья,LOC,загорья,1
заглох,PER,заглох,1
завяжите,PER,завяжите,1
заводям,PER,заводям,1
западная окраина,LOC,западной окраине,1
западная ограда ристании,LOC,западная ограда ристании,1
западная империя,LOC,западная империя,1
заокраинный запад,LOC,заокраинного запада,1
заночевали,PER,заночевали,1
занавесь,LOC,занавесь,1
выпихнув гризли,PER,выпихнув гризли,1
выпивоху-лунарь,PER,выпивоху-лунаря,1
вызвездило,PER,вызвездило,1
второй сенешаль мустангрима,PER,второго сенешаля мустангрима,1
вся-то,PER,всю-то,1
галеты,PER,галеты,1
галдеж,PER,галдеж,1
галатилионом,PER,галатилионом,1
галадхэнский холм,LOC,галадхэнского холма,1
заморье,LOC,заморье,1
заморских,LOC,заморских,1
замок элронда,LOC,замке элронда,1
запертая двери,LOC,запертой двери,1
запертая,PER,запертая,1
западный удел,LOC,западный удел,1
западный витязь,LOC,западный витязь,1
западный веял ветер,LOC,западный веял ветер,1
западный ветер,LOC,западный ветер,1
западный берег,LOC,западный берег,1
западные воротам,LOC,западным воротам,1
западные ворот,LOC,западных ворот,1
западные витязи,LOC,западных витязей,1
западные,LOC,западных,1
западное,LOC,западное,1
затворял фродо,PER,затворял фродо,1
заспались,PER,заспались,1
заслужить-то,PER,заслужить-то,1
заря,PER,заря,1
зарок валаров,PER,зароку валаров,1
заречешься,PER,заречешься,1
запустелый мордор,PER,запустелый мордор,1
запретительное заклятие,PER,запретительное заклятие,1
запредельному запад,LOC,запредельному западу,1
заповедный край,PER,заповедном крае,1
заповедный край,LOC,заповедный край,1
запескунсы,PER,запескунсы,1
запертую дверь,LOC,запертую дверь,1
запертой дверь,LOC,запертой двери,1
здрасьте,PER,здрасьте,1
здравура,PER,здравура,1
здоровила,PER,здоровила,1
здешний край,LOC,здешний край,1
здóрово,PER,здóрово,1
звенели,PER,звенели,1
звенел,LOC,звенел,1
звеневший,PER,звеневший,1
звездою,PER,звездою,1
звездная цитадель осгилиата,LOC,звездной цитадели осгилиата,1
звездная цитадель,LOC,звездная цитадель,1
звездинка,PER,звездинка,1
звезда феанора,PER,звезда феанора,1
звезда феанор,LOC,звезды феанора,1
заячьих холмы,LOC,заячьих холмов,1
заячьих холмов,PER,заячьих холмов,1
зеркального,LOC,зеркального,1
зеркальная заводь,LOC,зеркальной заводи,1
зеркалу,PER,зеркалу,1
зеркале галадриэли,LOC,зеркале галадриэли,1
землеройске,LOC,землеройске,1
землеройска,LOC,землеройска,1
землеройск,LOC,землеройск,1
зеленые холмам,LOC,зеленым холмам,1
зеленополье,LOC,зеленополье,1
зовущий,PER,зовет,1
зовет,PER,зовет,1
злонамеренный ночлег,LOC,злонамеренный ночлег,1
зло,PER,зла,1
златолесья,PER,златолесья,1
златолесье,PER,златолесье,1
зиракзигил-селебдор,PER,зиракзигил-селебдор,1
зиракзигил,LOC,зиракзигила,1
зирак-зигила,LOC,зирак-зигила,1
зирак,LOC,зирак,1
зеркальное озеро,LOC,зеркального озера,1
зеркальное,PER,зеркальное,1
зубы,PER,зубы,1
зрячих камней,PER,зрячих камней,1
зрячего окно,PER,зрячего окна,1
зоркому леголасу,PER,зоркому леголасу,1
золотой ворожеи,LOC,золотой ворожеи,1
золотозвончатой долина,PER,золотозвончатой долиной,1
золотое,LOC,золотое,1
всадниках,PER,всадниках,1
всадник,LOC,всадника,1
вяз,LOC,вяза,1
вышними,PER,вышними,1
вышний двор,LOC,вышнему двору,1
вышний,LOC,вышний,1
вытянул,PER,вытянул,1
высоко-высоко,PER,высоко-высоко,1
выслушайте,PER,выслушайте,1
золотинкой,PER,золотинкой,1
золотинка-то,PER,золотинка-то,1
изенгард эомер,LOC,изенгард эомера,1
изгарных,LOC,изгарных,1
изгарными,PER,изгарными,1
извечный враг,LOC,извечного врага,1
из,LOC,из,1
идриль келебриндаль,PER,идриль келебриндаль,1
идемте,PER,идемте,1
и эмрос,PER,и эмрос,1
изумрудные холмы,LOC,изумрудные холмы,1
изодранный,PER,изодранный,1
изенских,PER,изенских,1
изенских,LOC,изенских,1
изенмаут,LOC,изенмаут,1
изенгардцы,PER,изенгардцы,1
изенгардцев углук,PER,изенгардцев углуку,1
изенгарду,PER,изенгарду,1
изенгарду,LOC,изенгарду,1
изенгардское ущелье,LOC,изенгардское ущелье,1
изенгардская,LOC,изенгардскую,1
изенгардом,PER,изенгардом,1
ингольд стена,PER,ингольд стена,1
имраиля,PER,имраиля,1
имраиль,LOC,имраиль,1
имлот-мелуи,PER,имлот-мелуи,1
имлот-мелуи,LOC,имлот-мелуи,1
имладрисом,LOC,имладрисом,1
врата гондор,PER,врата гондора,1
врат ристании,LOC,врат ристании,1
врат  грохочет северный ветер,LOC,"врат

грохочет северный ветер",1
всесильным властитель,PER,всесильным властителем,1
всеобщий враг,LOC,всеобщего врага,1
всезнание,PER,всезнание,1
всего-то,LOC,всего-то,1
всевидящее око,PER,всевидящее око,1
все-то,PER,все-то,1
иль,PER,иль,1
илмарин,PER,илмарин,1
изумрудных холмы,LOC,изумрудных холмов,1
изумрудных холмов пиннат-гелина,LOC,изумрудных холмов пиннат-гелина,1
исиддур,PER,исиддур,1
ирисной низины,LOC,ирисной низины,1
ирисной низине,LOC,ирисной низине,1
ирисная низине,LOC,ирисной низине,1
ирензаги,LOC,ирензаги,1
иорлас,PER,иорлас,1
иореты,PER,иореты,1
иоретой,LOC,иоретой,1
иорете,PER,иорете,1
инканус,LOC,инканус,1
истфольдского,PER,истфольдского,1
исторбинку,PER,исторбинку,1
исстари,PER,исстари,1
исправнорах,LOC,исправнорах,1
исправ-норах,LOC,исправ-норах,1
исконного враг,PER,исконного врага,1
исилдуром,PER,исилдуром,1
исилдуровых,PER,исилдуровых,1
исилдура-кольцо всевластья,PER,исилдура-кольцо всевластья,1
йельские низины,LOC,йельские низины,1
йе́ни уно́тимэ,PER,йе́ни уно́тимэ,1
йарвеном бен-адаром,PER,йарвеном бен-адаром,1
йарвена форном,PER,йарвена форном,1
итильские земли,LOC,итильские земли,1
вражьей,PER,вражьей,1
вражий отряд,PER,вражий отряд,1
вражий кольцом,LOC,вражьим кольцом,1
вроде бильбо,PER,вроде бильбо,1
врачеванья,LOC,врачеванья,1
врачеваний,LOC,врачеваний,1
вратами ристании,PER,вратами ристании,1
вратам ристании,PER,вратам ристании,1
вратам мертвый край,LOC,вратам мертвого края,1
вратам,LOC,вратам,1
итилией,PER,итилией,1
каменный гигантам,LOC,каменным гигантам,1
каменные гигантами,LOC,каменными гигантами,1
как гэндальф,PER,как гэндальф,1
каир-андросом,LOC,каир-андросом,1
каир-андросе,LOC,каир-андросе,1
каир-андрос,PER,каир-андрос,1
казад-дума,LOC,казад-дума,1
казад-дум,PER,казад-дум,1
карак-ангрен,LOC,карак-ангрен,1
карадрасу,PER,карадрасу,1
карадраса,LOC,карадраса,1
карадрас кровожадным,PER,карадрас кровожадным,1
карабкаясь,PER,карабкаясь,1
кар,LOC,кар,1
канатчиках,LOC,канатчиках,1
камышовник,LOC,камышовника,1
камни нуменора,LOC,камней нуменора,1
каминным,PER,каминным,1
каминный,LOC,каминном,1
кветлориэна,PER,кветлориэна,1
карн дума,LOC,карн дума,1
каркост,PER,каркостом,1
карим,PER,карим,1
караульный кресло,PER,караульного кресла,1
караульную,LOC,караульную,1
карас-галадхэн,LOC,карас-галадхэне,1
карак-ангрен,PER,карак-ангрена,1
кирил,LOC,кирил,1
кипучая снеговая,LOC,кипучая снеговая,1
кили,LOC,кили,1
келос,PER,келос,1
келед-зарам,PER,келед-зарам,1
келебранты,LOC,келебранты,1
келеборна,PER,келеборна,1
келебдора,PER,келебдора,1
кгм,PER,кгм,1
квохчешь,PER,квохчешь,1
кветлориэном,PER,кветлориэном,1
клонится,PER,клонится,1
кликни гайму,PER,кликни гайму,1
клендархон,LOC,клендархон,1
клацая,PER,клацая,1
клан,PER,клану,1
кладбищенская дорога,LOC,кладбищенской дороги,1
кирит-унголу,PER,кирит-унголу,1
кирит-унголе,LOC,кирит-унголе,1
кирит-унгола,PER,кирит-унгола,1
кирит-унгола,LOC,кирит-унгола,1
восточные горы,LOC,восточных гор,1
восточные воротам,LOC,восточным воротам,1
